embeddings,db
qllama/bge-small-en-v1.5,df_2020_2024_Artificial Intelligence
qllama/bge-small-en-v1.5,df_2020_2024_Computation and Language (Natural Language Processing)
qllama/bge-small-en-v1.5,df_2020_2024_Computer Vision and Pattern Recognition
qllama/bge-small-en-v1.5,df_2020_2024_Machine Learning
qllama/bge-small-en-v1.5,df_2023_2024_Artificial Intelligence
qllama/bge-small-en-v1.5,df_2023_2024_Computation and Language (Natural Language Processing)
qllama/bge-small-en-v1.5,df_2023_2024_Computer Vision and Pattern Recognition
qllama/bge-small-en-v1.5,df_2024_Artificial Intelligence
qllama/bge-small-en-v1.5,df_2024_Computation and Language (Natural Language Processing)
qllama/bge-small-en-v1.5,df_2024_Computer Vision and Pattern Recognition
qllama/bge-small-en-v1.5,df_2024_Machine Learning (Statistics)
qllama/bge-small-en-v1.5,df_2024_Machine Learning
bge-large,df_2015_2024_Computation and Language (Natural Language Processing)
bge-large,df_2020_2024_Artificial Intelligence
mxbai-embed-large,df_2015_2024_Artificial Intelligence
mxbai-embed-large,df_2015_2024_Computation and Language (Natural Language Processing)
mxbai-embed-large,df_2015_2024_Computer Vision and Pattern Recognition
mxbai-embed-large,df_2015_2024_Machine Learning (Statistics)
mxbai-embed-large,df_2015_2024_Machine Learning
mxbai-embed-large,df_2020_2024_Artificial Intelligence
mxbai-embed-large,df_2020_2024_Computation and Language (Natural Language Processing)
mxbai-embed-large,df_2020_2024_Computer Vision and Pattern Recognition
mxbai-embed-large,df_2020_2024_Machine Learning (Statistics)
mxbai-embed-large,df_2020_2024_Machine Learning
mxbai-embed-large,df_2023_2024_Artificial Intelligence
mxbai-embed-large,df_2023_2024_Computation and Language (Natural Language Processing)
mxbai-embed-large,df_2023_2024_Computer Vision and Pattern Recognition
mxbai-embed-large,df_2023_2024_Machine Learning (Statistics)
mxbai-embed-large,df_2023_2024_Machine Learning
mxbai-embed-large,df_2024_Artificial Intelligence
mxbai-embed-large,df_2024_Computation and Language (Natural Language Processing)
mxbai-embed-large,df_2024_Computer Vision and Pattern Recognition
mxbai-embed-large,df_2024_Machine Learning (Statistics)
mxbai-embed-large,df_2024_Machine Learning
granite-embedding:30m,df_2015_2024_Artificial Intelligence
granite-embedding:30m,df_2015_2024_Computation and Language (Natural Language Processing)
granite-embedding:30m,df_2015_2024_Computer Vision and Pattern Recognition
granite-embedding:30m,df_2015_2024_Machine Learning (Statistics)
granite-embedding:30m,df_2015_2024_Machine Learning
granite-embedding:30m,df_2020_2024_Artificial Intelligence
granite-embedding:30m,df_2020_2024_Computation and Language (Natural Language Processing)
granite-embedding:30m,df_2020_2024_Computer Vision and Pattern Recognition
granite-embedding:30m,df_2020_2024_Machine Learning (Statistics)
granite-embedding:30m,df_2020_2024_Machine Learning
granite-embedding:30m,df_2023_2024_Artificial Intelligence
granite-embedding:30m,df_2023_2024_Computation and Language (Natural Language Processing)
granite-embedding:30m,df_2023_2024_Computer Vision and Pattern Recognition
granite-embedding:30m,df_2023_2024_Machine Learning (Statistics)
granite-embedding:30m,df_2023_2024_Machine Learning
granite-embedding:30m,df_2024_Artificial Intelligence
granite-embedding:30m,df_2024_Computation and Language (Natural Language Processing)
granite-embedding:30m,df_2024_Computer Vision and Pattern Recognition
granite-embedding:30m,df_2024_Machine Learning (Statistics)
granite-embedding:30m,df_2024_Machine Learning
all-minilm:latest,df_2015_2024_Artificial Intelligence
all-minilm:latest,df_2015_2024_Computer Vision and Pattern Recognition
all-minilm:latest,df_2015_2024_Machine Learning
all-minilm:latest,df_2020_2024_Artificial Intelligence
all-minilm:latest,df_2020_2024_Computation and Language (Natural Language Processing)
all-minilm:latest,df_2020_2024_Machine Learning
all-minilm:latest,df_2023_2024_Artificial Intelligence
all-minilm:latest,df_2023_2024_Computation and Language (Natural Language Processing)
all-minilm:latest,df_2023_2024_Computer Vision and Pattern Recognition
all-minilm:latest,df_2023_2024_Machine Learning (Statistics)
all-minilm:latest,df_2024_Artificial Intelligence
all-minilm:latest,df_2024_Computation and Language (Natural Language Processing)
all-minilm:latest,df_2024_Computer Vision and Pattern Recognition
all-minilm:latest,df_2024_Machine Learning (Statistics)
all-minilm:latest,df_2024_Machine Learning
all-minilm:latest,df_2015_2024_Artificial Intelligence
all-minilm:latest,df_2015_2024_Artificial Intelligence
all-minilm:latest,df_2015_2024_Computation and Language (Natural Language Processing)
all-minilm:latest,df_2015_2024_Computer Vision and Pattern Recognition
all-minilm:latest,df_2015_2024_Machine Learning (Statistics)
all-minilm:latest,df_2015_2024_Machine Learning
all-minilm:latest,df_2020_2024_Artificial Intelligence
all-minilm:latest,df_2020_2024_Computation and Language (Natural Language Processing)
all-minilm:latest,df_2020_2024_Computer Vision and Pattern Recognition
all-minilm:latest,df_2020_2024_Machine Learning (Statistics)
all-minilm:latest,df_2020_2024_Machine Learning
all-minilm:latest,df_2023_2024_Artificial Intelligence
all-minilm:latest,df_2023_2024_Computation and Language (Natural Language Processing)
all-minilm:latest,df_2023_2024_Computer Vision and Pattern Recognition
all-minilm:latest,df_2023_2024_Machine Learning (Statistics)
all-minilm:latest,df_2023_2024_Machine Learning
all-minilm:latest,df_2024_Artificial Intelligence
all-minilm:latest,df_2024_Computation and Language (Natural Language Processing)
all-minilm:latest,df_2024_Computer Vision and Pattern Recognition
all-minilm:latest,df_2024_Machine Learning (Statistics)
all-minilm:latest,df_2024_Machine Learning
nomic-embed-text:latest,df_2015_2024_Artificial Intelligence
nomic-embed-text:latest,df_2015_2024_Computation and Language (Natural Language Processing)
nomic-embed-text:latest,df_2015_2024_Computer Vision and Pattern Recognition
nomic-embed-text:latest,df_2015_2024_Machine Learning (Statistics)
nomic-embed-text:latest,df_2015_2024_Machine Learning
nomic-embed-text:latest,df_2020_2024_Artificial Intelligence
nomic-embed-text:latest,df_2020_2024_Computation and Language (Natural Language Processing)
nomic-embed-text:latest,df_2020_2024_Computer Vision and Pattern Recognition
nomic-embed-text:latest,df_2020_2024_Machine Learning (Statistics)
nomic-embed-text:latest,df_2020_2024_Machine Learning
nomic-embed-text:latest,df_2023_2024_Artificial Intelligence
nomic-embed-text:latest,df_2023_2024_Computation and Language (Natural Language Processing)
nomic-embed-text:latest,df_2023_2024_Computer Vision and Pattern Recognition
nomic-embed-text:latest,df_2023_2024_Machine Learning (Statistics)
nomic-embed-text:latest,df_2023_2024_Machine Learning
nomic-embed-text:latest,df_2024_Artificial Intelligence
nomic-embed-text:latest,df_2024_Computation and Language (Natural Language Processing)
nomic-embed-text:latest,df_2024_Computer Vision and Pattern Recognition
nomic-embed-text:latest,df_2024_Machine Learning (Statistics)
nomic-embed-text:latest,df_2024_Machine Learning
qwen3-embedding:0.6b,df_2015_2024_Artificial Intelligence
qwen3-embedding:0.6b,df_2015_2024_Computation and Language (Natural Language Processing)
qwen3-embedding:0.6b,df_2015_2024_Computer Vision and Pattern Recognition
qwen3-embedding:0.6b,df_2015_2024_Machine Learning (Statistics)
qwen3-embedding:0.6b,df_2015_2024_Machine Learning
qwen3-embedding:0.6b,df_2020_2024_Artificial Intelligence
qwen3-embedding:0.6b,df_2020_2024_Computation and Language (Natural Language Processing)
qwen3-embedding:0.6b,df_2020_2024_Computer Vision and Pattern Recognition
qwen3-embedding:0.6b,df_2020_2024_Machine Learning (Statistics)
qwen3-embedding:0.6b,df_2020_2024_Machine Learning
qwen3-embedding:0.6b,df_2023_2024_Artificial Intelligence
qwen3-embedding:0.6b,df_2023_2024_Computation and Language (Natural Language Processing)
qwen3-embedding:0.6b,df_2023_2024_Computer Vision and Pattern Recognition
qwen3-embedding:0.6b,df_2023_2024_Machine Learning (Statistics)
qwen3-embedding:0.6b,df_2023_2024_Machine Learning
qwen3-embedding:0.6b,df_2024_Artificial Intelligence
qwen3-embedding:0.6b,df_2024_Computation and Language (Natural Language Processing)
qwen3-embedding:0.6b,df_2024_Computer Vision and Pattern Recognition
qwen3-embedding:0.6b,df_2024_Machine Learning (Statistics)
qwen3-embedding:0.6b,df_2024_Machine Learning
